Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Elin Electronics Ltd.,"Fri, Dec 30, 2022",247,227.65,-7.83,105.26,-57.15
KFin Technologies Ltd.,"Thu, Dec 29, 2022",366,363.85,-0.59,837.25,128.81
Abans Holdings Ltd.,"Fri, Dec 23, 2022",270,218.4,-19.11,201,-25.56
Landmark Cars Ltd.,"Fri, Dec 23, 2022",506,458.4,-9.41,414.5,-18.28
Sula Vineyards Ltd.,"Thu, Dec 22, 2022",357,331.15,-7.24,154.27,-56.81
Uniparts India Ltd.,"Mon, Dec 12, 2022",577,539.65,-6.47,633.05,9.54
Dharmaj Crop Guard Ltd.,"Thu, Dec 8, 2022",237,266.3,12.36,275.05,15.44
Keystone Realtors Ltd.,"Thu, Nov 24, 2022",541,556.85,2.93,381.15,-29.38
Inox Green Energy Services Ltd.,"Wed, Nov 23, 2022",65,59.1,-9.08,170.92,163.38
Kaynes Technology India Ltd.,"Tue, Nov 22, 2022",587,689.95,17.54,3027.5,415.84
Archean Chemical Industries Ltd.,"Mon, Nov 21, 2022",407,458.15,12.57,514.55,26.08
Five-Star Business Finance Ltd.,"Mon, Nov 21, 2022",474,490,3.38,421.1,-11.21
Global Health Ltd.,"Wed, Nov 16, 2022",336,415.3,23.6,1210.4,260.94
Bikaji Foods International Ltd.,"Wed, Nov 16, 2022",300,317.45,5.82,653.65,117.95
Fusion Micro Finance Ltd.,"Tue, Nov 15, 2022",368,324.8,-11.74,164.79,-55.12
DCX Systems Ltd.,"Fri, Nov 11, 2022",207,308.8,49.18,183.51,-11.26
Tracxn Technologies Ltd.,"Thu, Oct 20, 2022",80,93.25,16.56,31.44,-60.86
Electronics Mart India Ltd.,"Mon, Oct 17, 2022",59,84.5,43.22,107.52,84.49
Harsha Engineers International Ltd.,"Mon, Sep 26, 2022",330,486.5,47.42,399.55,20.92
Tamilnad Mercantile Bank Ltd.,"Thu, Sep 15, 2022",510,509.65,-0.07,738.95,44.8
Dreamfolks Services Ltd.,"Tue, Sep 6, 2022",326,462.4,41.84,72.29,-77.73
Syrma SGS Technology Ltd.,"Fri, Aug 26, 2022",220,310.5,41.14,1201.2,446.16
Aether Industries Ltd.,"Fri, Jun 3, 2022",642,774.4,20.62,1136.5,76.75
eMudhra Ltd.,"Wed, Jun 1, 2022",256,257.9,0.74,465.35,81.82
Ethos Ltd.,"Mon, May 30, 2022",878,803.1,-8.53,2351.1,167.81
Paradeep Phosphates Ltd.,"Fri, May 27, 2022",42,43.9,4.52,124,195
Delhivery Ltd.,"Tue, May 24, 2022",487,536.35,10.13,439.35,-9.78
Venus Pipes & Tubes Ltd.,"Tue, May 24, 2022",326,354.35,8.7,1407.9,331.7
Prudent Corporate Advisory Services Ltd.,"Fri, May 20, 2022",630,561.75,-10.83,2613.8,310.87
Life Insurance Corp.of India,"Tue, May 17, 2022",949,875.25,-7.77,395.5,-58.35
Rainbow Children's Medicare Ltd.,"Tue, May 10, 2022",542,450.2,-16.94,1343.2,146.81
Campus Activewear Ltd.,"Mon, May 9, 2022",292,378.9,29.76,237.8,-18.61
Hariom Pipe Industries Ltd.,"Wed, Apr 13, 2022",153,231,50.98,405.35,164.77
Veranda Learning Solutions Ltd.,"Mon, Apr 11, 2022",137,131.25,-4.2,224.77,63.72
Ruchi Soya Industries Ltd.,"Fri, Apr 8, 2022",650,923.45,42.07,419.95,-35.39
Uma Exports Ltd.,"Thu, Apr 7, 2022",68,79.8,17.35,22.73,-66.47
Vedant Fashions Ltd.,"Wed, Feb 16, 2022",866,933.55,7.8,397.35,-54.11
Adani Wilmar Ltd.,"Tue, Feb 8, 2022",230,268.25,16.63,185.71,-19.26
AGS Transact Technologies Ltd.,"Mon, Jan 31, 2022",175,161.05,-7.97,3.92,-98.3
